fact_id,employee_id,project_id,kpi_id,evaluation_date,kpi_value,kpi_target,status_pencapaian
380526,2,16,11,2024-10-05,73.12,83.0,Tidak Tercapai
380527,2,16,12,2024-10-05,70.51,88.0,Tidak Tercapai
380528,2,16,13,2024-10-05,64.31,78.0,Tidak Tercapai
380529,2,16,14,2024-10-05,72.53,85.0,Tidak Tercapai
380530,2,16,15,2024-10-05,72.96,82.0,Tidak Tercapai
380531,2,15,1,2024-10-03,73.12,80.0,Tidak Tercapai
380532,2,15,2,2024-10-03,65.47,80.0,Tidak Tercapai
380533,2,15,3,2024-10-03,73.69,82.0,Tidak Tercapai
380534,2,15,4,2024-10-03,61.07,85.0,Tidak Tercapai
380535,2,15,5,2024-10-03,70.02,85.0,Tidak Tercapai
380536,2,15,6,2024-10-03,76.14,75.0,Tercapai
380537,2,15,7,2024-10-03,66.2,88.0,Tidak Tercapai
380538,2,15,8,2024-10-03,67.02,80.0,Tidak Tercapai
380539,2,15,9,2024-10-03,74.39,90.0,Tidak Tercapai
380540,2,15,10,2024-10-03,62.92,72.0,Tidak Tercapai
380541,2,15,11,2024-10-03,64.77,83.0,Tidak Tercapai
380542,2,15,12,2024-10-03,70.97,88.0,Tidak Tercapai
380543,2,15,13,2024-10-03,64.78,78.0,Tidak Tercapai
380544,2,15,14,2024-10-03,69.51,85.0,Tidak Tercapai
380545,2,15,15,2024-10-03,65.43,82.0,Tidak Tercapai
380546,2,15,1,2024-10-06,76.55,80.0,Tidak Tercapai
380547,2,15,2,2024-10-06,66.05,80.0,Tidak Tercapai
380548,2,15,3,2024-10-06,65.94,82.0,Tidak Tercapai
380549,2,15,4,2024-10-06,71.05,85.0,Tidak Tercapai
380550,2,15,5,2024-10-06,61.85,85.0,Tidak Tercapai
380551,2,15,6,2024-10-06,67.32,75.0,Tidak Tercapai
380552,2,15,7,2024-10-06,76.55,88.0,Tidak Tercapai
380553,2,15,8,2024-10-06,62.34,80.0,Tidak Tercapai
380554,2,15,9,2024-10-06,74.78,90.0,Tidak Tercapai
380555,2,15,10,2024-10-06,66.37,72.0,Tidak Tercapai
380556,2,15,11,2024-10-06,75.28,83.0,Tidak Tercapai
380557,2,15,12,2024-10-06,65.11,88.0,Tidak Tercapai
380558,2,15,13,2024-10-06,63.64,78.0,Tidak Tercapai
380559,2,15,14,2024-10-06,69.74,85.0,Tidak Tercapai
380560,2,15,15,2024-10-06,70.91,82.0,Tidak Tercapai
380561,2,15,1,2024-09-26,69.97,80.0,Tidak Tercapai
380562,2,15,2,2024-09-26,70.4,80.0,Tidak Tercapai
380563,2,15,3,2024-09-26,63.62,82.0,Tidak Tercapai
380564,2,15,4,2024-09-26,67.72,85.0,Tidak Tercapai
380565,2,15,5,2024-09-26,68.0,85.0,Tidak Tercapai
380566,2,15,6,2024-09-26,62.38,75.0,Tidak Tercapai
380567,2,15,7,2024-09-26,78.32,88.0,Tidak Tercapai
380568,2,15,8,2024-09-26,70.98,80.0,Tidak Tercapai
380569,2,15,9,2024-09-26,67.81,90.0,Tidak Tercapai
380570,2,15,10,2024-09-26,67.47,72.0,Tidak Tercapai
380571,2,15,11,2024-09-26,66.62,83.0,Tidak Tercapai
380572,2,15,12,2024-09-26,73.47,88.0,Tidak Tercapai
380573,2,15,13,2024-09-26,74.06,78.0,Tidak Tercapai
380574,2,15,14,2024-09-26,62.99,85.0,Tidak Tercapai
380575,2,15,15,2024-09-26,73.18,82.0,Tidak Tercapai
380576,2,9,1,2024-03-08,71.16,80.0,Tidak Tercapai
380577,2,9,2,2024-03-08,73.0,80.0,Tidak Tercapai
380578,2,9,3,2024-03-08,75.66,82.0,Tidak Tercapai
380579,2,9,4,2024-03-08,66.02,85.0,Tidak Tercapai
380580,2,9,5,2024-03-08,63.73,85.0,Tidak Tercapai
380581,2,9,6,2024-03-08,62.03,75.0,Tidak Tercapai
380582,2,9,7,2024-03-08,66.72,88.0,Tidak Tercapai
380583,2,9,8,2024-03-08,68.96,80.0,Tidak Tercapai
380584,2,9,9,2024-03-08,75.2,90.0,Tidak Tercapai
380585,2,9,10,2024-03-08,66.19,72.0,Tidak Tercapai
380586,2,9,11,2024-03-08,75.2,83.0,Tidak Tercapai
380587,2,9,12,2024-03-08,70.45,88.0,Tidak Tercapai
380588,2,9,13,2024-03-08,75.84,78.0,Tidak Tercapai
380589,2,9,14,2024-03-08,65.93,85.0,Tidak Tercapai
380590,2,9,15,2024-03-08,81.54,82.0,Tidak Tercapai
380591,2,9,1,2024-03-22,72.18,80.0,Tidak Tercapai
380592,2,9,2,2024-03-22,65.51,80.0,Tidak Tercapai
380593,2,9,3,2024-03-22,62.37,82.0,Tidak Tercapai
380594,2,9,4,2024-03-22,69.36,85.0,Tidak Tercapai
380595,2,9,5,2024-03-22,66.18,85.0,Tidak Tercapai
380596,2,9,6,2024-03-22,69.31,75.0,Tidak Tercapai
380597,2,9,7,2024-03-22,72.59,88.0,Tidak Tercapai
380598,2,9,8,2024-03-22,69.04,80.0,Tidak Tercapai
380599,2,9,9,2024-03-22,69.92,90.0,Tidak Tercapai
380600,2,9,10,2024-03-22,58.19,72.0,Tidak Tercapai
380601,2,9,11,2024-03-22,69.54,83.0,Tidak Tercapai
380602,2,9,12,2024-03-22,74.31,88.0,Tidak Tercapai
380603,2,9,13,2024-03-22,70.33,78.0,Tidak Tercapai
380604,2,9,14,2024-03-22,61.58,85.0,Tidak Tercapai
380605,2,9,15,2024-03-22,70.15,82.0,Tidak Tercapai
380606,2,7,1,2024-01-09,69.42,80.0,Tidak Tercapai
380607,2,7,2,2024-01-09,63.7,80.0,Tidak Tercapai
380608,2,7,3,2024-01-09,66.25,82.0,Tidak Tercapai
380609,2,7,4,2024-01-09,65.82,85.0,Tidak Tercapai
380610,2,7,5,2024-01-09,60.41,85.0,Tidak Tercapai
380611,2,7,6,2024-01-09,66.1,75.0,Tidak Tercapai
380612,2,7,7,2024-01-09,71.27,88.0,Tidak Tercapai
380613,2,7,8,2024-01-09,72.56,80.0,Tidak Tercapai
380614,2,7,9,2024-01-09,76.68,90.0,Tidak Tercapai
380615,2,7,10,2024-01-09,57.23,72.0,Tidak Tercapai
380616,2,7,11,2024-01-09,65.59,83.0,Tidak Tercapai
380617,2,7,12,2024-01-09,71.06,88.0,Tidak Tercapai
380618,2,7,13,2024-01-09,69.99,78.0,Tidak Tercapai
380619,2,7,14,2024-01-09,67.87,85.0,Tidak Tercapai
380620,2,7,15,2024-01-09,85.02,82.0,Tercapai
380621,2,7,1,2024-02-12,71.08,80.0,Tidak Tercapai
380622,2,7,2,2024-02-12,73.62,80.0,Tidak Tercapai
380623,2,7,3,2024-02-12,70.65,82.0,Tidak Tercapai
380624,2,7,4,2024-02-12,69.29,85.0,Tidak Tercapai
380625,2,7,5,2024-02-12,64.94,85.0,Tidak Tercapai
380626,2,7,6,2024-02-12,68.7,75.0,Tidak Tercapai
380627,2,7,7,2024-02-12,66.11,88.0,Tidak Tercapai
380628,2,7,8,2024-02-12,67.45,80.0,Tidak Tercapai
380629,2,7,9,2024-02-12,70.64,90.0,Tidak Tercapai
380630,2,7,10,2024-02-12,64.57,72.0,Tidak Tercapai
380631,2,7,11,2024-02-12,81.08,83.0,Tidak Tercapai
380632,2,7,12,2024-02-12,61.19,88.0,Tidak Tercapai
380633,2,7,13,2024-02-12,71.6,78.0,Tidak Tercapai
380634,2,7,14,2024-02-12,59.1,85.0,Tidak Tercapai
380635,2,7,15,2024-02-12,66.39,82.0,Tidak Tercapai
380636,2,7,1,2024-02-16,73.43,80.0,Tidak Tercapai
380637,2,7,2,2024-02-16,68.82,80.0,Tidak Tercapai
380638,2,7,3,2024-02-16,61.53,82.0,Tidak Tercapai
380639,2,7,4,2024-02-16,63.16,85.0,Tidak Tercapai
380640,2,7,5,2024-02-16,69.43,85.0,Tidak Tercapai
380641,2,7,6,2024-02-16,62.01,75.0,Tidak Tercapai
380642,2,7,7,2024-02-16,70.58,88.0,Tidak Tercapai
380643,2,7,8,2024-02-16,68.73,80.0,Tidak Tercapai
380644,2,7,9,2024-02-16,69.91,90.0,Tidak Tercapai
380645,2,7,10,2024-02-16,73.87,72.0,Tercapai
380646,2,7,11,2024-02-16,73.54,83.0,Tidak Tercapai
380647,2,7,12,2024-02-16,60.49,88.0,Tidak Tercapai
380648,2,7,13,2024-02-16,69.37,78.0,Tidak Tercapai
380649,2,7,14,2024-02-16,63.4,85.0,Tidak Tercapai
380650,2,7,15,2024-02-16,72.37,82.0,Tidak Tercapai
380651,2,6,1,2024-01-10,64.12,80.0,Tidak Tercapai
380652,2,6,2,2024-01-10,67.17,80.0,Tidak Tercapai
380653,2,6,3,2024-01-10,67.83,82.0,Tidak Tercapai
380654,2,6,4,2024-01-10,69.45,85.0,Tidak Tercapai
380655,2,6,5,2024-01-10,60.16,85.0,Tidak Tercapai
380656,2,6,6,2024-01-10,62.99,75.0,Tidak Tercapai
380657,2,6,7,2024-01-10,66.61,88.0,Tidak Tercapai
380658,2,6,8,2024-01-10,64.75,80.0,Tidak Tercapai
380659,2,6,9,2024-01-10,79.89,90.0,Tidak Tercapai
380660,2,6,10,2024-01-10,65.25,72.0,Tidak Tercapai
380661,2,6,11,2024-01-10,64.14,83.0,Tidak Tercapai
380662,2,6,12,2024-01-10,72.88,88.0,Tidak Tercapai
380663,2,6,13,2024-01-10,77.24,78.0,Tidak Tercapai
380664,2,6,14,2024-01-10,70.2,85.0,Tidak Tercapai
380665,2,6,15,2024-01-10,60.85,82.0,Tidak Tercapai
380666,15,11,1,2024-05-17,66.08,80.0,Tidak Tercapai
380667,15,11,2,2024-05-17,73.96,80.0,Tidak Tercapai
380668,15,11,3,2024-05-17,62.93,82.0,Tidak Tercapai
380669,15,11,4,2024-05-17,68.11,85.0,Tidak Tercapai
380670,15,11,5,2024-05-17,69.6,85.0,Tidak Tercapai
380671,15,11,6,2024-05-17,60.87,75.0,Tidak Tercapai
380672,15,11,7,2024-05-17,69.06,88.0,Tidak Tercapai
380673,15,11,8,2024-05-17,53.67,80.0,Tidak Tercapai
380674,15,11,9,2024-05-17,67.94,90.0,Tidak Tercapai
380675,15,11,10,2024-05-17,62.83,72.0,Tidak Tercapai
380676,15,11,11,2024-05-17,64.79,83.0,Tidak Tercapai
380677,15,11,12,2024-05-17,76.68,88.0,Tidak Tercapai
380678,15,11,13,2024-05-17,61.82,78.0,Tidak Tercapai
380679,15,11,14,2024-05-17,64.13,85.0,Tidak Tercapai
380680,15,11,15,2024-05-17,68.84,82.0,Tidak Tercapai
380681,15,28,1,2025-10-15,77.75,80.0,Tidak Tercapai
380682,15,28,2,2025-10-15,64.8,80.0,Tidak Tercapai
380683,15,28,3,2025-10-15,74.25,82.0,Tidak Tercapai
380684,15,28,4,2025-10-15,69.07,85.0,Tidak Tercapai
380685,15,28,5,2025-10-15,64.6,85.0,Tidak Tercapai
380686,15,28,6,2025-10-15,69.98,75.0,Tidak Tercapai
380687,15,28,7,2025-10-15,73.28,88.0,Tidak Tercapai
380688,15,28,8,2025-10-15,68.56,80.0,Tidak Tercapai
380689,15,28,9,2025-10-15,76.05,90.0,Tidak Tercapai
380690,15,28,10,2025-10-15,65.04,72.0,Tidak Tercapai
380691,15,28,11,2025-10-15,74.01,83.0,Tidak Tercapai
380692,15,28,12,2025-10-15,75.36,88.0,Tidak Tercapai
380693,15,28,13,2025-10-15,78.4,78.0,Tercapai
380694,15,28,14,2025-10-15,63.45,85.0,Tidak Tercapai
380695,15,28,15,2025-10-15,80.86,82.0,Tidak Tercapai
380696,15,22,1,2025-04-30,61.72,80.0,Tidak Tercapai
380697,15,22,2,2025-04-30,69.82,80.0,Tidak Tercapai
380698,15,22,3,2025-04-30,70.93,82.0,Tidak Tercapai
380699,15,22,4,2025-04-30,69.55,85.0,Tidak Tercapai
380700,15,22,5,2025-04-30,65.49,85.0,Tidak Tercapai
380701,15,22,6,2025-04-30,66.24,75.0,Tidak Tercapai
380702,15,22,7,2025-04-30,69.39,88.0,Tidak Tercapai
380703,15,22,8,2025-04-30,67.85,80.0,Tidak Tercapai
380704,15,22,9,2025-04-30,78.76,90.0,Tidak Tercapai
380705,15,22,10,2025-04-30,67.68,72.0,Tidak Tercapai
380706,15,22,11,2025-04-30,69.6,83.0,Tidak Tercapai
380707,15,22,12,2025-04-30,75.66,88.0,Tidak Tercapai
380708,15,22,13,2025-04-30,71.89,78.0,Tidak Tercapai
380709,15,22,14,2025-04-30,71.95,85.0,Tidak Tercapai
380710,15,22,15,2025-04-30,73.34,82.0,Tidak Tercapai
380711,15,22,1,2025-04-08,66.67,80.0,Tidak Tercapai
380712,15,22,2,2025-04-08,67.88,80.0,Tidak Tercapai
380713,15,22,3,2025-04-08,71.55,82.0,Tidak Tercapai
380714,15,22,4,2025-04-08,70.94,85.0,Tidak Tercapai
380715,15,22,5,2025-04-08,68.1,85.0,Tidak Tercapai
380716,15,22,6,2025-04-08,67.61,75.0,Tidak Tercapai
380717,15,22,7,2025-04-08,77.26,88.0,Tidak Tercapai
380718,15,22,8,2025-04-08,67.74,80.0,Tidak Tercapai
380719,15,22,9,2025-04-08,77.29,90.0,Tidak Tercapai
380720,15,22,10,2025-04-08,65.07,72.0,Tidak Tercapai
380721,15,22,11,2025-04-08,71.64,83.0,Tidak Tercapai
380722,15,22,12,2025-04-08,76.46,88.0,Tidak Tercapai
380723,15,22,13,2025-04-08,74.12,78.0,Tidak Tercapai
380724,15,22,14,2025-04-08,71.85,85.0,Tidak Tercapai
380725,15,22,15,2025-04-08,76.28,82.0,Tidak Tercapai
380726,15,18,1,2025-01-08,69.4,80.0,Tidak Tercapai
380727,15,18,2,2025-01-08,72.38,80.0,Tidak Tercapai
380728,15,18,3,2025-01-08,65.73,82.0,Tidak Tercapai
380729,15,18,4,2025-01-08,68.59,85.0,Tidak Tercapai
380730,15,18,5,2025-01-08,66.54,85.0,Tidak Tercapai
380731,15,18,6,2025-01-08,66.48,75.0,Tidak Tercapai
380732,15,18,7,2025-01-08,73.08,88.0,Tidak Tercapai
380733,15,18,8,2025-01-08,65.63,80.0,Tidak Tercapai
380734,15,18,9,2025-01-08,83.08,90.0,Tidak Tercapai
380735,15,18,10,2025-01-08,60.42,72.0,Tidak Tercapai
380736,15,18,11,2025-01-08,66.02,83.0,Tidak Tercapai
380737,15,18,12,2025-01-08,75.61,88.0,Tidak Tercapai
380738,15,18,13,2025-01-08,72.87,78.0,Tidak Tercapai
380739,15,18,14,2025-01-08,69.94,85.0,Tidak Tercapai
380740,15,18,15,2025-01-08,72.13,82.0,Tidak Tercapai
380741,15,10,1,2024-04-26,68.79,80.0,Tidak Tercapai
380742,15,10,2,2024-04-26,64.81,80.0,Tidak Tercapai
380743,15,10,3,2024-04-26,67.02,82.0,Tidak Tercapai
380744,15,10,4,2024-04-26,63.63,85.0,Tidak Tercapai
380745,15,10,5,2024-04-26,71.07,85.0,Tidak Tercapai
380746,15,10,6,2024-04-26,64.94,75.0,Tidak Tercapai
380747,15,10,7,2024-04-26,66.21,88.0,Tidak Tercapai
380748,15,10,8,2024-04-26,67.4,80.0,Tidak Tercapai
380749,15,10,9,2024-04-26,75.03,90.0,Tidak Tercapai
380750,15,10,10,2024-04-26,61.98,72.0,Tidak Tercapai
380751,15,10,11,2024-04-26,67.31,83.0,Tidak Tercapai
380752,15,10,12,2024-04-26,71.02,88.0,Tidak Tercapai
380753,15,10,13,2024-04-26,69.95,78.0,Tidak Tercapai
380754,15,10,14,2024-04-26,64.4,85.0,Tidak Tercapai
380755,15,10,15,2024-04-26,66.72,82.0,Tidak Tercapai
380756,15,10,1,2024-03-30,70.45,80.0,Tidak Tercapai
380757,15,10,2,2024-03-30,62.89,80.0,Tidak Tercapai
380758,15,10,3,2024-03-30,60.89,82.0,Tidak Tercapai
380759,15,10,4,2024-03-30,63.99,85.0,Tidak Tercapai
380760,15,10,5,2024-03-30,66.26,85.0,Tidak Tercapai
380761,15,10,6,2024-03-30,67.53,75.0,Tidak Tercapai
380762,15,10,7,2024-03-30,77.13,88.0,Tidak Tercapai
380763,15,10,8,2024-03-30,73.26,80.0,Tidak Tercapai
380764,15,10,9,2024-03-30,73.05,90.0,Tidak Tercapai
380765,15,10,10,2024-03-30,64.95,72.0,Tidak Tercapai
380766,15,10,11,2024-03-30,67.07,83.0,Tidak Tercapai
380767,15,10,12,2024-03-30,70.41,88.0,Tidak Tercapai
380768,15,10,13,2024-03-30,68.1,78.0,Tidak Tercapai
380769,15,10,14,2024-03-30,68.67,85.0,Tidak Tercapai
380770,15,10,15,2024-03-30,65.68,82.0,Tidak Tercapai
380771,15,14,1,2024-07-28,69.54,80.0,Tidak Tercapai
380772,15,14,2,2024-07-28,74.1,80.0,Tidak Tercapai
380773,15,14,3,2024-07-28,64.6,82.0,Tidak Tercapai
380774,15,14,4,2024-07-28,66.9,85.0,Tidak Tercapai
380775,15,14,5,2024-07-28,68.2,85.0,Tidak Tercapai
380776,15,14,6,2024-07-28,62.23,75.0,Tidak Tercapai
380777,15,14,7,2024-07-28,69.27,88.0,Tidak Tercapai
380778,15,14,8,2024-07-28,67.26,80.0,Tidak Tercapai
380779,15,14,9,2024-07-28,71.87,90.0,Tidak Tercapai
380780,15,14,10,2024-07-28,59.5,72.0,Tidak Tercapai
380781,15,14,11,2024-07-28,69.43,83.0,Tidak Tercapai
380782,15,14,12,2024-07-28,70.5,88.0,Tidak Tercapai
380783,15,14,13,2024-07-28,73.74,78.0,Tidak Tercapai
380784,15,14,14,2024-07-28,69.41,85.0,Tidak Tercapai
380785,15,14,15,2024-07-28,76.89,82.0,Tidak Tercapai
380786,15,14,1,2024-08-27,63.2,80.0,Tidak Tercapai
380787,15,14,2,2024-08-27,70.57,80.0,Tidak Tercapai
380788,15,14,3,2024-08-27,65.38,82.0,Tidak Tercapai
380789,15,14,4,2024-08-27,74.41,85.0,Tidak Tercapai
380790,15,14,5,2024-08-27,60.92,85.0,Tidak Tercapai
380791,15,14,6,2024-08-27,59.73,75.0,Tidak Tercapai
380792,15,14,7,2024-08-27,65.0,88.0,Tidak Tercapai
380793,15,14,8,2024-08-27,57.09,80.0,Tidak Tercapai
380794,15,14,9,2024-08-27,68.47,90.0,Tidak Tercapai
380795,15,14,10,2024-08-27,59.04,72.0,Tidak Tercapai
380796,15,14,11,2024-08-27,69.42,83.0,Tidak Tercapai
380797,15,14,12,2024-08-27,69.23,88.0,Tidak Tercapai
380798,15,14,13,2024-08-27,75.09,78.0,Tidak Tercapai
380799,15,14,14,2024-08-27,68.83,85.0,Tidak Tercapai
380800,15,14,15,2024-08-27,64.05,82.0,Tidak Tercapai
380801,15,38,1,2023-09-14,63.12,80.0,Tidak Tercapai
380802,15,38,2,2023-09-14,69.37,80.0,Tidak Tercapai
380803,15,38,3,2023-09-14,59.11,82.0,Tidak Tercapai
380804,15,38,4,2023-09-14,73.29,85.0,Tidak Tercapai
380805,15,38,5,2023-09-14,70.36,85.0,Tidak Tercapai
380806,15,38,6,2023-09-14,61.88,75.0,Tidak Tercapai
380807,15,38,7,2023-09-14,60.51,88.0,Tidak Tercapai
380808,15,38,8,2023-09-14,73.25,80.0,Tidak Tercapai
380809,15,38,9,2023-09-14,70.87,90.0,Tidak Tercapai
380810,15,38,10,2023-09-14,68.51,72.0,Tidak Tercapai
380811,15,38,11,2023-09-14,62.1,83.0,Tidak Tercapai
380812,15,38,12,2023-09-14,65.52,88.0,Tidak Tercapai
380813,15,38,13,2023-09-14,67.18,78.0,Tidak Tercapai
380814,15,38,14,2023-09-14,65.26,85.0,Tidak Tercapai
380815,15,38,15,2023-09-14,65.14,82.0,Tidak Tercapai
380816,15,38,1,2023-09-01,69.91,80.0,Tidak Tercapai
380817,15,38,2,2023-09-01,62.3,80.0,Tidak Tercapai
380818,15,38,3,2023-09-01,64.35,82.0,Tidak Tercapai
380819,15,38,4,2023-09-01,65.53,85.0,Tidak Tercapai
